locality_name,uuid,city_name
Ramreddiguda,23fe5fdcd41dabc6cceb,Hyderabad
Sector 81,1344d8c937b6de263ef4,Noida
Gantiganahalli,4f37db1ff7d5f5c6fe65,Bengaluru
Rayasandra,36dfb449ef099eabaf93,Bengaluru
Kithaganur Village,aaa0b73ecfefa0c7a1fe,Bengaluru
Kanhe,40d15a7ba65be47917bf,Pune
Geetanjali Enclave,d2e513514f01ff8362a9,Delhi
Bhabanipur,1a0f69576ff21b8c360b,Kolkata
Swargate,f4a34cbe6ff2c4d05012,Pune
Sector 39,b51e8a13531a303d5858,Noida
Kalkaji Extension,cb450cceaacb380dd348,Delhi
Bollaram,7eac0d30b5babe2bd8ca,Hyderabad
Reliaable Lifestyle Layout,c5cd648f92dbe6741175,Bengaluru
Baramati,52b1d0b1c544fefdb4ac,Pune
Vijay Nagar,cdd2f0ed7ecec43546b5,Ghaziabad
Chikkasagarahalli,1a32571e7a30d76e6630,Bengaluru
Sonapur,e396506cfca991547559,Pune
Polacheri,880bdb97c8877f9de835,Chennai
Dobbsapet,915b473ad19c4e6aefe3,Bengaluru
Pandua,f9724dd11c5575d5da11,Kolkata
Tirumalpur,87f81fd1ed64a3fcfc6a,Chennai
Mehram Nagar,cb84939ffc014dd732a6,Delhi
Hennur Main Road,31473fe21a1f41e08bec,Bengaluru
Adarsh Nagar,2a096fa22124230a9a48,Delhi
Mukundpur,c199f8236732de29148e,Delhi
Dum Dum Park,548bec6c63d822966605,Kolkata
NIBM ,8b419d17f957b881527c,Pune
Bagepalli,23db5ba5be40e58afb2e,Bengaluru
Panchsheel Enclave,c9ecb74ddad6df463b5f,Ghaziabad
Oragadam,43ab749b6dc05fbe1b64,Chennai
Deshbandhu Nagar,1852d32b5e0f9b7708fa,Kolkata
Vinzol,370d46133db4a2a9af4a,Ahmedabad
Gandipet,20d6bb85410f3e2a7e0e,Hyderabad
Salamangalam,e2560396672d28645db4,Chennai
Kulattur,2f928817088a1cd83497,Chennai
Gopanapalli,2aba0edb5f09325d449e,Hyderabad
Nizampur,66c0687453dafdfdc228,Kolkata
Thummaloor,940f88a24c47b8a23032,Hyderabad
Thodur,655f222acaf23ce36f4c,Chennai
Thakuranir Chak,14de7e5130f95328c1b1,Kolkata
Gokalpur,b507c792e7e54328eacb,Delhi
Chegur,09199587000eadf719b5,Hyderabad
Ismailpur Extension,15c141f87a416d9b6126,Delhi
Rayan Talavadi,e7e348ad7c7179240e99,Ahmedabad
Omicron I,fe0095a8262ecedc5722,Noida
Jaya Chamarajendra Nagar,b022f87e4eae87b74f45,Bengaluru
Om Sai City,a08be870a0c1b075396d,Ghaziabad
Gandhi Nagar,0bb3c5d5a3138a3e9a7b,Pune
Vandalur,c8939f818c9914d4c18f,Chennai
Ganganagar,2396a58cad1b70c3da88,Bengaluru
Bilekahalli,5731584a330847dd0d45,Bengaluru
Manamai,7ad1fcecf36a1c484145,Chennai
Patipukur,c0e75c0d9382d85d2305,Kolkata
Bagalakunte,3001a6e00d6dd6d032b2,Bengaluru
Khidirpur,5b0554df56f4f370edcb,Kolkata
Vishala,dba80a7c7c39f9ea19a9,Ahmedabad
Kathirguppe,133b802f039a43ae95c2,Bengaluru
Colaba,4303e8e35b969b828ab7,Mumbai
Sector 62A,59bb88e2ef69762d91ba,Noida
Sector 88,f8c8549e7b9ee6cde2f9,Gurgaon
Nalur,1c1b654e4ce223d199b3,Chennai
Subhas Pally,fda649c30e292ccad711,Kolkata
Varve Khurd,12e6e06f5da952f965ae,Pune
Vile Parle East,4418fa697b7a77fc0d99,Mumbai
DLF Ankur Vihar,e5b96d9c1694ff319886,Ghaziabad
Shivane,d507d8aaae29d6b98321,Pune
Padur,0ea1a82c7c3e96580bef,Chennai
Andul,6b6e667f1127939941e6,Kolkata
Kodathi,02a7027290f10e19000e,Bengaluru
Ughrojpura,602642d127c4a6df8b6f,Ahmedabad
Mansoorabad,71d05e1afd61c7a1d77b,Hyderabad
Lohia Nagar,b4b09aafd952e8096cf1,Ghaziabad
Nagli Sabapur,770ea9f7f321898c649c,Noida
Tirumanahalli,da67062fca3f8fcd617f,Bengaluru
Sector 80,496dee59973e0548ac9f,Gurgaon
New Malakpet,192718072d426af0e9b6,Hyderabad
Thattanahalli,569cf901b89146256c19,Bengaluru
Lulla Nagar,68ee4917edcaffa2dc1b,Pune
Sector 116,c069966241bd482a72f8,Noida
Boodihal,4a0c1da4329bc3044f99,Bengaluru
Kasindra,5cd81e682ca1bdb7b944,Ahmedabad
Doddajala,5cf23a03e62c97f3d6fd,Bengaluru
